"","district_id","name","region","no..of.inhabitants","no..of.municipalities.with.inhabitants...499","no..of.municipalities.with.inhabitants.500.1999","no..of.municipalities.with.inhabitants.2000.9999","no..of.municipalities.with.inhabitants..10000","no..of.cities","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96"
"67",67,"Bruntal","north Moravia",106054,38,25,6,2,6,63.1,8110,65,6.55,109,41,3079
"68",68,"Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.2,9893,54,4.72,96,65,5887
"69",69,"Jesenik","north Moravia",42821,4,13,5,1,3,48.4,8173,36.5,7.01,124,38.5,1358
"70",70,"Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108
"71",71,"Novy Jicin","north Moravia",161227,5,35,11,4,10,69.7,8678,66,5.57,102,60,4595
"72",72,"Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208
"73",73,"Opava","north Moravia",182027,17,49,12,2,7,56.4,8746,42,3.74,90,56,4433
"74",74,"Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347
"75",75,"Prerov","north Moravia",138032,67,30,4,2,5,64.6,8819,62,5.66,99,51,4505
"76",76,"Sumperk","north Moravia",127369,31,32,13,2,7,51.2,8369,58,5.88,107,48,2807
"77",77,"Vsetin","north Moravia",148545,8,35,12,3,4,53.5,8909,53,5.56,113,43,3590
