"","account_id","district_id","frequency","account_age"
"363",3068,59,"monthly issuance",24
"364",1476,61,"monthly issuance",24
"365",897,38,"monthly issuance",24
"366",977,1,"monthly issuance",24
"367",2639,17,"monthly issuance",24
"368",1032,11,"monthly issuance",24
"369",928,20,"monthly issuance",24
"370",168,31,"monthly issuance",24
"371",2175,1,"monthly issuance",24
"372",10105,55,"monthly issuance",24
"373",1392,60,"monthly issuance",24
"374",3697,45,"monthly issuance",24
"375",5313,40,"monthly issuance",24
"376",2222,47,"monthly issuance",24
"377",2641,7,"monthly issuance",24
"378",5423,15,"monthly issuance",24
"379",2609,73,"monthly issuance",24
"380",5472,1,"monthly issuance",24
"381",2932,72,"monthly issuance",24
"382",4254,70,"monthly issuance",24
"383",3965,31,"monthly issuance",24
"384",10656,8,"monthly issuance",24
"385",887,1,"monthly issuance",24
"386",4743,64,"monthly issuance",24
"387",1048,35,"monthly issuance",24
"388",1671,6,"monthly issuance",24
"389",1236,19,"monthly issuance",24
"390",1822,30,"monthly issuance",24
"391",3316,28,"monthly issuance",24
"392",2037,20,"monthly issuance",24
"393",10079,62,"monthly issuance",24
"394",3999,35,"monthly issuance",24
"395",551,77,"monthly issuance",24
"396",1200,33,"monthly issuance",24
"397",1161,66,"monthly issuance",24
"398",5372,48,"monthly issuance",24
"399",3050,60,"monthly issuance",24
"400",1784,59,"monthly issuance",24
"401",1603,1,"monthly issuance",24
"402",1887,68,"monthly issuance",24
"403",1644,1,"monthly issuance",24
"404",1658,73,"monthly issuance",24
"405",44,32,"monthly issuance",24
"406",1039,70,"weekly issuance",24
"407",1071,68,"weekly issuance",24
"408",2410,54,"monthly issuance",24
"409",2523,10,"monthly issuance",24
"410",790,54,"monthly issuance",24
"411",2583,62,"monthly issuance",24
"412",1782,8,"monthly issuance",24
"413",751,3,"monthly issuance",24
"414",2061,24,"monthly issuance",24
"415",8261,13,"monthly issuance",24
"416",2321,35,"monthly issuance",24
"417",1334,74,"monthly issuance",24
"418",3649,54,"monthly issuance",24
"419",555,24,"monthly issuance",24
"420",3173,39,"monthly issuance",24
"421",863,71,"monthly issuance",24
"422",3181,42,"monthly issuance",24
"423",3210,1,"monthly issuance",24
"424",489,16,"monthly issuance",24
"425",947,59,"monthly issuance",24
"426",3284,64,"monthly issuance",24
"427",1610,52,"monthly issuance",24
"428",4225,55,"monthly issuance",24
"429",1412,64,"monthly issuance",24
"430",1937,36,"monthly issuance",24
"431",991,39,"monthly issuance",24
"432",1180,20,"monthly issuance",24
"433",2758,70,"monthly issuance",24
"434",2711,58,"monthly issuance",24
"435",1652,74,"monthly issuance",24
"436",3099,70,"monthly issuance",24
"437",11111,1,"monthly issuance",24
"438",9591,74,"monthly issuance",24
"439",9828,11,"monthly issuance",24
"440",5385,44,"weekly issuance",24
"441",23,30,"monthly issuance",24
"442",2645,54,"monthly issuance",24
"443",2991,19,"monthly issuance",24
"444",3469,76,"monthly issuance",24
"445",1851,55,"monthly issuance",24
"446",3844,67,"monthly issuance",24
"447",1442,23,"monthly issuance",24
"448",3064,40,"monthly issuance",24
"449",3558,4,"monthly issuance",24
"450",1534,1,"monthly issuance",24
"451",334,1,"monthly issuance",24
"452",1786,1,"monthly issuance",24
"453",1272,40,"weekly issuance",24
"454",2436,67,"monthly issuance",24
"455",3796,53,"monthly issuance",24
"456",119,27,"monthly issuance",24
"457",3063,72,"monthly issuance",24
"458",18,43,"weekly issuance",24
"459",11320,44,"monthly issuance",24
"460",3888,39,"monthly issuance",24
"461",1584,30,"monthly issuance",24
"462",5546,43,"monthly issuance",24
"463",2029,55,"monthly issuance",24
"464",10911,1,"weekly issuance",24
"465",2467,33,"monthly issuance",24
"466",2962,1,"monthly issuance",24
"467",165,25,"monthly issuance",24
"468",1617,45,"monthly issuance",24
"469",327,54,"monthly issuance",24
"470",2068,21,"monthly issuance",24
"471",4448,60,"monthly issuance",24
"472",640,32,"monthly issuance",24
"473",510,1,"weekly issuance",24
"474",2534,61,"monthly issuance",24
"475",1018,7,"monthly issuance",24
"476",1285,65,"monthly issuance",24
"477",3670,27,"monthly issuance",24
"478",1743,51,"monthly issuance",24
"479",3072,8,"monthly issuance",24
"480",2146,31,"monthly issuance",24
"481",4576,27,"monthly issuance",24
"482",3258,53,"monthly issuance",24
"483",2176,67,"monthly issuance",24
"484",8934,51,"monthly issuance",24
"485",1999,70,"monthly issuance",24
"486",2741,15,"monthly issuance",24
"487",4427,32,"monthly issuance",24
"488",3682,70,"monthly issuance",24
"489",2862,33,"monthly issuance",24
"490",3032,5,"monthly issuance",24
"491",701,69,"monthly issuance",24
"492",6281,56,"monthly issuance",24
"493",306,16,"monthly issuance",24
"494",1207,67,"monthly issuance",24
"495",1247,25,"monthly issuance",24
"496",5343,64,"monthly issuance",24
"497",5129,68,"monthly issuance",24
"498",3713,14,"weekly issuance",24
"499",2327,19,"monthly issuance",24
"500",774,1,"monthly issuance",24
"501",1990,1,"monthly issuance",24
"502",2388,30,"monthly issuance",24
"503",3566,21,"monthly issuance",24
"504",10266,54,"monthly issuance",24
"505",3771,22,"monthly issuance",24
"506",1978,57,"weekly issuance",24
"507",2022,72,"monthly issuance",24
"508",3542,49,"monthly issuance",24
"509",1515,11,"monthly issuance",24
"510",4171,28,"monthly issuance",24
"511",433,20,"monthly issuance",24
"512",1373,47,"monthly issuance",24
"513",3246,54,"monthly issuance",24
"514",1475,1,"weekly issuance",24
"515",3133,66,"monthly issuance",24
"516",2779,73,"monthly issuance",24
"517",135,75,"monthly issuance",24
"518",446,50,"monthly issuance",24
"519",9093,47,"monthly issuance",24
"520",432,46,"monthly issuance",24
"521",2880,71,"monthly issuance",24
"522",5767,72,"monthly issuance",24
"523",1998,1,"monthly issuance",24
"524",2554,36,"monthly issuance",24
"525",2933,10,"monthly issuance",24
"526",773,15,"monthly issuance",24
"527",4894,14,"monthly issuance",24
"528",3969,39,"monthly issuance",24
"529",1277,31,"monthly issuance",24
"530",5120,1,"monthly issuance",24
"531",738,34,"monthly issuance",24
"532",1299,1,"monthly issuance",24
"533",148,8,"monthly issuance",24
"534",899,72,"monthly issuance",24
"535",3521,75,"monthly issuance",24
"536",3786,21,"monthly issuance",24
"537",886,1,"monthly issuance",24
"538",5228,77,"issuance after transaction",24
"539",702,12,"monthly issuance",24
"540",300,1,"monthly issuance",24
"541",1451,64,"monthly issuance",24
"542",2940,54,"monthly issuance",24
"543",1837,23,"monthly issuance",24
"544",3954,22,"monthly issuance",24
"545",885,1,"monthly issuance",24
"546",2697,8,"monthly issuance",24
"547",8129,45,"monthly issuance",24
"548",1930,3,"monthly issuance",24
"549",2411,69,"monthly issuance",24
"550",3775,19,"monthly issuance",24
"551",9034,1,"monthly issuance",24
"552",902,74,"monthly issuance",24
"553",630,71,"monthly issuance",24
"554",3096,68,"monthly issuance",24
"555",2552,52,"monthly issuance",24
"556",3435,59,"monthly issuance",24
"557",5215,55,"monthly issuance",24
"558",36,1,"monthly issuance",24
"559",2687,76,"monthly issuance",24
"560",1861,54,"monthly issuance",24
"561",2464,33,"issuance after transaction",24
"562",2736,72,"monthly issuance",24
"563",1145,31,"monthly issuance",24
"564",2298,31,"monthly issuance",24
"565",929,54,"monthly issuance",24
"566",381,68,"monthly issuance",24
"567",3778,52,"monthly issuance",24
"568",1118,48,"monthly issuance",24
"569",4352,2,"monthly issuance",24
"570",1322,17,"monthly issuance",24
"571",1852,35,"monthly issuance",24
"572",8173,11,"monthly issuance",24
"573",2705,63,"issuance after transaction",24
"574",9472,1,"weekly issuance",24
"575",368,77,"monthly issuance",24
"576",1425,76,"monthly issuance",24
"577",8027,44,"weekly issuance",24
"578",3261,1,"monthly issuance",24
"579",35,75,"monthly issuance",24
"580",2186,63,"monthly issuance",24
"581",1566,73,"monthly issuance",24
"582",78,74,"monthly issuance",24
"583",3939,70,"monthly issuance",24
"584",2584,50,"monthly issuance",24
"585",2336,39,"monthly issuance",24
"586",2078,62,"monthly issuance",24
"587",3882,10,"monthly issuance",24
"588",4159,74,"monthly issuance",24
"589",907,41,"monthly issuance",24
"590",1411,54,"monthly issuance",24
"591",1684,32,"weekly issuance",24
"592",3748,1,"monthly issuance",24
"593",2213,68,"monthly issuance",24
"594",1062,6,"monthly issuance",24
"595",273,24,"issuance after transaction",24
"596",10320,68,"monthly issuance",24
"597",1416,66,"weekly issuance",24
"598",3277,36,"monthly issuance",24
"599",1892,28,"monthly issuance",24
"600",3413,70,"monthly issuance",24
"601",3654,47,"monthly issuance",24
"602",3000,28,"monthly issuance",24
"603",3955,64,"monthly issuance",24
"604",1544,69,"monthly issuance",24
"605",9703,68,"monthly issuance",24
"606",234,73,"monthly issuance",24
"607",3241,44,"monthly issuance",24
"608",3465,1,"monthly issuance",24
"609",3152,1,"monthly issuance",24
"610",1497,1,"monthly issuance",24
"611",3078,1,"monthly issuance",24
"612",400,28,"monthly issuance",24
"613",1902,50,"weekly issuance",24
"614",757,50,"monthly issuance",24
"615",1116,1,"monthly issuance",24
"616",5700,42,"monthly issuance",24
"617",3267,64,"monthly issuance",24
"618",3222,4,"monthly issuance",24
"619",408,41,"monthly issuance",24
"620",2818,40,"monthly issuance",24
"621",6273,38,"monthly issuance",24
"622",2513,70,"monthly issuance",24
"623",3493,63,"monthly issuance",24
"624",1201,61,"monthly issuance",24
"625",4478,70,"monthly issuance",24
"626",2915,57,"monthly issuance",24
"627",9833,20,"monthly issuance",24
"628",2253,74,"monthly issuance",24
"629",1069,70,"monthly issuance",24
"630",207,2,"monthly issuance",24
"631",3212,70,"monthly issuance",24
"632",4035,1,"monthly issuance",24
"633",1268,74,"monthly issuance",24
"634",3287,18,"monthly issuance",24
"635",6226,74,"weekly issuance",24
"636",2123,64,"monthly issuance",24
"637",3982,26,"monthly issuance",24
"638",2701,71,"monthly issuance",24
"639",3629,48,"monthly issuance",24
"640",2841,71,"monthly issuance",24
"641",563,53,"monthly issuance",24
"642",2732,5,"monthly issuance",24
"643",1297,70,"monthly issuance",24
"644",7485,39,"monthly issuance",24
"645",2088,4,"monthly issuance",24
"646",225,1,"monthly issuance",24
"647",1630,72,"monthly issuance",24
"648",403,1,"monthly issuance",24
"649",445,63,"weekly issuance",24
"650",186,1,"weekly issuance",24
"651",3720,36,"monthly issuance",24
"652",574,70,"monthly issuance",24
"653",1429,57,"monthly issuance",24
"654",3580,43,"monthly issuance",24
"655",7819,38,"monthly issuance",24
"656",759,23,"monthly issuance",24
"657",6363,74,"monthly issuance",24
"658",3738,51,"monthly issuance",24
"659",4000,7,"monthly issuance",24
"660",9041,1,"monthly issuance",24
"661",2620,22,"monthly issuance",24
"662",3609,28,"monthly issuance",24
"663",1382,48,"monthly issuance",24
"664",930,41,"monthly issuance",24
"665",1925,12,"monthly issuance",24
"666",1834,62,"monthly issuance",24
"667",1507,35,"monthly issuance",24
"668",7857,75,"monthly issuance",24
"669",6636,72,"weekly issuance",24
"670",601,29,"monthly issuance",24
"671",3298,29,"monthly issuance",24
"672",2938,1,"monthly issuance",24
"673",2199,1,"monthly issuance",24
"674",3745,5,"monthly issuance",24
"675",3699,50,"monthly issuance",24
"676",816,52,"monthly issuance",24
"677",3656,53,"monthly issuance",24
"678",2038,42,"monthly issuance",24
"679",2542,21,"monthly issuance",24
"680",1136,12,"monthly issuance",24
"681",1589,37,"monthly issuance",24
"682",3136,69,"monthly issuance",24
"683",3547,54,"monthly issuance",24
"684",26,52,"monthly issuance",24
"685",657,47,"monthly issuance",24
"686",3538,58,"monthly issuance",24
"687",2167,16,"monthly issuance",24
"688",3127,66,"monthly issuance",24
"689",47,45,"monthly issuance",24
"690",3850,8,"monthly issuance",24
"691",5366,70,"monthly issuance",24
"692",747,39,"monthly issuance",24
"693",3166,71,"monthly issuance",24
"694",11021,1,"monthly issuance",24
"695",1701,1,"monthly issuance",24
"696",3613,43,"monthly issuance",24
"697",3600,27,"monthly issuance",24
"698",3792,10,"monthly issuance",24
"699",523,1,"monthly issuance",24
"700",3808,38,"monthly issuance",24
"701",1401,1,"monthly issuance",24
"702",541,61,"monthly issuance",24
"703",1023,21,"monthly issuance",24
"704",3683,33,"monthly issuance",24
"705",3220,29,"monthly issuance",24
"706",1779,33,"monthly issuance",24
"707",1912,64,"monthly issuance",24
"708",238,6,"monthly issuance",24
"709",3113,67,"monthly issuance",24
"710",5481,52,"monthly issuance",24
"711",3035,15,"weekly issuance",24
"712",942,9,"monthly issuance",24
"713",3221,5,"monthly issuance",24
"714",2616,1,"monthly issuance",24
"715",2137,4,"issuance after transaction",24
"716",978,73,"monthly issuance",24
"717",2771,37,"monthly issuance",24
"718",3891,1,"monthly issuance",24
"719",9236,11,"monthly issuance",24
"720",274,76,"monthly issuance",24
"721",552,14,"monthly issuance",24
"722",2417,44,"monthly issuance",24
"723",3868,43,"monthly issuance",24
"724",9869,12,"monthly issuance",24
"725",1875,44,"monthly issuance",24
"726",8212,52,"issuance after transaction",24
"727",3477,71,"monthly issuance",24
"728",1513,30,"monthly issuance",24
"729",3053,11,"monthly issuance",24
"730",1057,13,"monthly issuance",24
"731",6030,47,"monthly issuance",24
"732",3407,28,"monthly issuance",24
"733",1761,24,"monthly issuance",24
"734",3306,75,"monthly issuance",24
"735",162,60,"monthly issuance",24
"736",5011,31,"monthly issuance",24
"737",965,20,"monthly issuance",24
"738",1305,57,"monthly issuance",24
"739",815,56,"monthly issuance",24
"740",1449,35,"monthly issuance",24
"741",950,49,"monthly issuance",24
"742",3361,45,"monthly issuance",24
"743",3837,48,"issuance after transaction",24
"744",33,22,"monthly issuance",24
"745",2894,17,"monthly issuance",24
"746",2510,61,"monthly issuance",24
"747",389,30,"monthly issuance",24
"748",6051,56,"monthly issuance",24
"749",730,4,"monthly issuance",24
"750",1694,6,"weekly issuance",24
"751",721,76,"monthly issuance",24
"752",1106,20,"weekly issuance",24
"753",3319,56,"monthly issuance",24
"754",10451,1,"monthly issuance",24
"755",172,13,"monthly issuance",24
"756",3920,74,"monthly issuance",24
"757",3011,64,"monthly issuance",24
"758",1337,23,"monthly issuance",24
"759",2592,69,"monthly issuance",24
"760",146,4,"monthly issuance",24
"761",2576,1,"monthly issuance",24
"762",3195,40,"monthly issuance",24
"763",8073,24,"issuance after transaction",24
"764",4463,67,"monthly issuance",24
"765",2082,36,"monthly issuance",24
"766",2020,13,"monthly issuance",24
"767",160,23,"monthly issuance",24
"768",7607,1,"monthly issuance",24
"769",117,31,"monthly issuance",24
"770",3509,2,"monthly issuance",24
"771",151,76,"monthly issuance",24
"772",1719,1,"monthly issuance",24
"773",3456,32,"monthly issuance",24
"774",2951,44,"monthly issuance",24
"775",7190,49,"monthly issuance",24
"776",1827,10,"monthly issuance",24
"777",1689,55,"monthly issuance",24
"778",1197,68,"monthly issuance",24
"779",5952,50,"monthly issuance",24
"780",6930,41,"monthly issuance",24
"781",1107,42,"monthly issuance",24
"782",8475,4,"monthly issuance",24
"783",3575,7,"monthly issuance",24
"784",2691,69,"monthly issuance",24
